"title","rental_duration","rental_category"
"Chamber Italian",7,"Long"
"Grosse Wonderful",5,"Moderate"
"Airport Pollock",6,"Long"
"Bright Encounters",4,"Moderate"
"Academy Dinosaur",6,"Long"
"Ace Goldfinger",3,"Short"
"Adaptation Holes",7,"Long"
"Affair Prejudice",5,"Moderate"
"African Egg",6,"Long"
"Agent Truman",3,"Short"
"Airplane Sierra",6,"Long"
"Alabama Devil",3,"Short"
"Aladdin Calendar",6,"Long"
"Alamo Videotape",6,"Long"
"Alaska Phantom",6,"Long"
"Date Speed",4,"Moderate"
"Ali Forever",4,"Moderate"
"Alice Fantasia",6,"Long"
"Alien Center",5,"Moderate"
"Alley Evolution",6,"Long"
"Alone Trip",3,"Short"
"Alter Victory",6,"Long"
"Amadeus Holy",6,"Long"
"Amelie Hellfighters",4,"Moderate"
"American Circus",3,"Short"
"Amistad Midsummer",6,"Long"
"Anaconda Confessions",3,"Short"
"Analyze Hoosiers",6,"Long"
"Angels Life",3,"Short"
"Annie Identity",3,"Short"
"Anonymous Human",7,"Long"
"Anthem Luke",5,"Moderate"
"Antitrust Tomatoes",5,"Moderate"
"Anything Savannah",4,"Moderate"
"Apache Divine",5,"Moderate"
"Apocalypse Flamingos",6,"Long"
"Apollo Teen",5,"Moderate"
"Arabia Dogma",6,"Long"
"Arachnophobia Rollercoaster",4,"Moderate"
"Argonauts Town",7,"Long"
"Arizona Bang",3,"Short"
"Ark Ridgemont",6,"Long"
"Armageddon Lost",5,"Moderate"
"Army Flintstones",4,"Moderate"
"Arsenic Independence",4,"Moderate"
"Artist Coldblooded",5,"Moderate"
"Dying Maker",5,"Moderate"
"Atlantis Cause",6,"Long"
"Attacks Hate",5,"Moderate"
"Attraction Newton",5,"Moderate"
"Autumn Crow",3,"Short"
"Baby Hall",5,"Moderate"
"Backlash Undefeated",3,"Short"
"Badman Dawn",6,"Long"
"Baked Cleopatra",3,"Short"
"Casualties Encino",3,"Short"
"Balloon Homeward",5,"Moderate"
"Ballroom Mockingbird",6,"Long"
"Bang Kwai",5,"Moderate"
"Banger Pinocchio",5,"Moderate"
"Barbarella Streetcar",6,"Long"
"Barefoot Manchurian",6,"Long"
"Basic Easy",4,"Moderate"
"Beach Heartbreakers",6,"Long"
"Bear Graceland",4,"Moderate"
"Beast Hunchback",3,"Short"
"Beauty Grease",5,"Moderate"
"Bed Highball",5,"Moderate"
"Bedazzled Married",6,"Long"
"Beethoven Exorcist",6,"Long"
"Behavior Runaway",3,"Short"
"Beneath Rush",6,"Long"
"Berets Agent",5,"Moderate"
"Betrayed Rear",5,"Moderate"
"Beverly Outlaw",3,"Short"
"Bikini Borrowers",7,"Long"
"Bilko Anonymous",3,"Short"
"Bill Others",6,"Long"
"Bingo Talented",5,"Moderate"
"Birch Antitrust",4,"Moderate"
"Bird Independence",6,"Long"
"Birdcage Casper",4,"Moderate"
"Birds Perdition",5,"Moderate"
"Blackout Private",7,"Long"
"Blade Polish",5,"Moderate"
"Blanket Beverly",7,"Long"
"Blindness Gun",6,"Long"
"Blood Argonauts",3,"Short"
"Blues Instinct",5,"Moderate"
"Boiled Dares",7,"Long"
"Bonnie Holocaust",4,"Moderate"
"Boogie Amelie",6,"Long"
"Boondock Ballroom",7,"Long"
"Born Spinal",7,"Long"
"Borrowers Bedazzled",7,"Long"
"Boulevard Mob",3,"Short"
"Bound Cheaper",5,"Moderate"
"Bowfinger Gables",7,"Long"
"Brannigan Sunrise",4,"Moderate"
"Braveheart Human",7,"Long"
"Breakfast Goldfinger",5,"Moderate"
"Breaking Home",4,"Moderate"
"Bride Intrigue",7,"Long"
"Bringing Hysterical",7,"Long"
"Brooklyn Desert",7,"Long"
"Brotherhood Blanket",3,"Short"
"Bubble Grosse",4,"Moderate"
"Bucket Brotherhood",7,"Long"
"Bugsy Song",4,"Moderate"
"Bull Shawshank",6,"Long"
"Bulworth Commandments",4,"Moderate"
"Bunch Minds",4,"Moderate"
"Butch Panther",6,"Long"
"Butterfly Chocolat",3,"Short"
"Cabin Flash",4,"Moderate"
"Caddyshack Jedi",3,"Short"
"Calendar Gunfight",4,"Moderate"
